804	147
835	170
805	168
798	157
817	166
828	154
794	184
794	160
826	137
830	155
814	149
811	158
447	138
457	141
464	145
456	124
474	130
447	137
472	121
438	149
448	161
461	161
487	129
458	146
453	148
453	159
468	295
506	328
474	313
517	279
469	320
486	319
501	326
499	269
469	298
496	314
490	319
523	297
469	282
503	304
739	439
721	416
742	402
729	435
741	427
755	429
725	427
726	418
745	420
750	412
769	406
770	433
1006	292
1009	318
1023	321
1026	291
1008	299
994	325
1027	323
1028	308
1003	306
1016	305
1042	306
1001	344
996	326
1002	337
1009	344
982	300
979	297
