726	418	1
739	439	1
721	416	1
742	402	1
729	435	1
741	427	1
725	427	1
745	420	1
750	412	1
770	433	2
755	429	2
769	406	2
1003	306	3
1006	292	3
1009	318	3
1023	321	3
1026	291	3
1008	299	3
994	325	3
1027	323	3
1028	308	3
1016	305	3
1042	306	3
1001	344	3
1002	337	3
1009	344	3
982	300	3
979	297	3
996	326	3
490	319	4
469	282	4
503	304	4
517	279	4
469	320	4
523	297	4
501	326	4
499	269	4
506	328	4
469	298	4
496	314	4
486	319	4
468	295	4
474	313	4
448	161	4
457	141	4
447	137	4
453	148	4
438	149	4
456	124	4
461	161	4
453	159	4
474	130	4
472	121	4
464	145	4
487	129	4
458	146	4
447	138	4
804	147	5
805	168	5
798	157	5
817	166	5
828	154	5
794	184	5
794	160	5
826	137	5
830	155	5
814	149	5
811	158	5
835	170	5
